"","attributes","B and B","Rusty Nail","The Blenheim","Churchill","Common Market","Four Score","Golden Doublet","Kensington Court Special","Link Up","Lorraine","Missouri Mule","Moonwalk","My Fair Lady","Nixon","Powerscourt","The Ed Shelly","Prince of Wales","Royal Arrival","Savoy Affair","Savoy Royale","Savoy Corpse Reviver","Wolfram","Brandy Alexander","Manhattan","Brandy Sour","Sours","White Lady","Brandy Daisy","Chicago Cocktail","French Connection","Horse's Neck","Incredible Hulk","Jack Rose","Paradise","Pisco sour","Porto Flip","Sazerac","Sidecar","Singapore Sling","Stinger","Tom and Jerry","Caipirinha","Caju amigo","Batida","Quentão","Bacardi cocktail","Between the Sheets","Blue Hawaii","Brass Monkey","Bumbo","Bushwacker","","Cojito","Cremat","Cuba Libre (Rum and Coke)","Cuban Sunset","Daiquiri","Dark 'n' Stormy","El Presidente","Flaming Doctor Pepper","Flaming volcano","Gunfire","Hot buttered rum","Hurricane","Long Island Iced Tea","Macuá","Mai Tai","Mojito","Painkiller","Piña colada","Planter's Punch","Bermuda Rum Swizzle","151 Swizzle","Suffering Bastard (1942)","Club-Mate","Tschunk","Yellow Bird","Zombie","Bloody Mary","Sake bomb","Tamagozake","Chimayó Cocktail","El Toro Loco","Tom Collins","Juan Collins","Margarita","Matador","Paloma","Tequila Slam/Coscorron","Tequila Sunrise","Vampiro","Agent Orange","Appletini ","Astro pop","Black Russian","BLT","Blue Lagoon","Caesar","Cape Codder","Colombia","Cosmopolitan","Fizzy Apple Cocktail","Gimlet","Harrogate Nights","Harvey Wallbanger","Screwdriver","Kamikaze","Mint julep","Lemon drop martini","Rickey","Moscow mule","Orange Tundra","Red Russian","Salmiakki Koskenkorva","Salty dog","Sea Breeze","Sex on the Beach","Vesper","Vodka martini","White Russian","Woo Woo","Yorsh","Amber Moon","Black Nail","Bobby Burns","Boulevardier","Bourbon lancer","Brooklyn","Farnell","Irish Coffee","Horsefeather","Jack and Coke","Lynchburg Lemonade","Old Fashioned","Rob Roy","Scotch and soda","Seven and Seven","Toronto","Whiskey sour","Black Velvet","Death in the Afternoon","B-52","Baby Guinness","Orgasm","Backdraft","Carrot Cake","Jägerbomb","Americano","Polar Bear","Redheaded slut"
"43","Commonly used ingredients","1 part cognac~~~1 part Bénédictine","1½ oz. tequila~~~1/2 oz. Kahlúa","3 parts Brandy~~~2 parts Yellow Chartreuse~~~1 part Lillet~~~1 part Orange Juice~~~1 part Dubonnet","3 parts Scotch whisky~~~1 part Lime Juice~~~1 part Sweet Vermouth~~~1 part Cointreau","1 part Elixir d’Anu (Belgium)~~~1 part Cherry Brandy (Denmark)~~~1 part Noilly Prat (France)~~~1 part Schlichte (West Germany)~~~1 part Sloe gin (Britain)~~~1 part Orange Curacao (Netherlands)~~~1 part Dry White Wine (Luxembourg)~~~1 part Coffee Liqueur (Ireland)~~~1 part Carpano (Italy)","Three parts Brandy~~~Two parts Lillet~~~One part Yellow Chartreuse","3 parts Orange juice~~~1 part Lime Juice~~~1 part Grand Marnier","1 part Passion Fruit Juice~~~1 part Lime Juice~~~1 part Apricot Brandy~~~3 parts Vodka","1 part Southern Comfort~~~1 part Russian Vodka~~~Teaspoon of fresh Lime Juice","2 parts Gin~~~1 part Lillet~~~1 part Grand Marnier","2 parts Bourbon whiskey~~~2 parts Applejack~~~2 parts Lemon Juice~~~1 part Campari~~~1 part Cointreau","1 part fresh Grapefruit Juice~~~1 part Grand Marnier~~~2 dashes Rosewater","1 part Gin~~~1 part Lemon Juice~~~1 part Orange juice~~~1 part Sirop de Fraise/Strawberry Syrup~~~1 dash of egg white","1 part Bourbon whiskey~~~1 part Sloe Gin~~~2 dashes of peach bitters","1 parts Brandy~~~1 parts Lime juice~~~2 part Orange Juice~~~2 part Creme de Peche Liqueur","1 parts Canadian whisky~~~1 parts Apple Schnapps (Pucker)","1 part Lemon Juice~~~1 part Cherry Brandy~~~1 Strawberry~~~1 teaspoon sugar","4 parts Gin~~~1 parts Lemon Juice~~~1 part Crème de Noyaux~~~1 part Kümmel~~~Dash egg white~~~Dash vegetable extract","1 part Lime Juice~~~1 part Fraise de Bois liqueur~~~1 part Passion Fruit Juice~~~1 part Peach Brandy","1/2 peach~~~2 strawberries~~~Teaspoon of sugar","1 part Brandy~~~1 part Fernet Branca~~~1 part White Crème de menthe","2 parts Gin~~~2 parts Wolfschmidt Kummel~~~2 parts Dry Vermouth~~~1 part Lemon Juice","3 cl (1 part) Cognac~~~3 cl (1 part) Crème de cacao (brown)~~~3 cl (1 part) Fresh cream",NA,"5 cl (two parts) Cyprus brandy~~~2.5 cl (one part) lemon squash~~~2–4 drops of bitters~~~Top with carbonated water",NA,NA,"1½ ounces brandy~~~¾ ounce yellow Chartreuse~~~¾ ounce lemon juice",NA,NA,NA,"One part hpnotiq~~~One part cognac","2 parts applejack~~~1 part lemon or lime juice~~~1/2 part grenadine",NA,NA,NA,NA,NA,NA,NA,"eggs or egg whites, powdered sugar, brandy, rum","50 ml (1<U+2154> fl oz) cachaça~~~½ Lime cut into 4 wedges (or tahiti lime, but not green lemon)~~~2 teaspoons crystal or refined sugar","2 parts cachaça~~~1 part fruit juice~~~1 tbsp sugar","1 part cachaça~~~1 part water~~~Sugar to taste~~~Peel of two oranges and a lime~~~Cloves, cinnamon and ginger to taste","2 parts cachaça~~~1 slice of each fresh orange, lemon and lime.~~~1 ounce of guava juice.~~~1 tbsp sugar",NA,NA,"2 cl light rum~~~2 cl vodka~~~1.5 cl  Blue Curaçao~~~9 cl pineapple juice, unsweetened~~~3 cl Sour mix","One part dark rum~~~One part vodka~~~One part orange juice","2 ounces rum~~~1 ounce water~~~2 sugar cubes~~~Sprinkle <U+200B>1/4 teaspoon to taste cinnamon~~~Sprinkle <U+200B>1/4 teaspoon to taste nutmeg","1 ounce Dark Rum~~~1 ounce Kahlúa~~~1 ounce Dark Crème de Cacao~~~2 ounces Cream of Coconut~~~2 ounces Milk or Half & Half~~~1 cup ice","1/2 oz Demerera 151 rum~~~1/2 oz Jamaican dark rum~~~1/4 oz Fassionola syrup~~~1/2 oz Falernum syrup~~~1/2 oz Orange juice~~~1/2 oz Lime Juice~~~Dash each bitters & grenadine","15ml of white rum~~~5ml Malibu~~~5ml lime juice~~~Mint leaves~~~1 sprig of mint","dark rum~~~sugar~~~lemon peel~~~cinnamon~~~coffee beans",NA,"4.5 cl (3 parts) rum (preferably white rum)~~~9 cl (6 parts) carbonated lime soda~~~4 cl (2 parts) lemonade~~~4 cl (2 parts) guava nectar~~~2 cl (1.5 parts) grenadine syrup~~~Garnish with lemon slice",NA,NA,"Two parts rum~~~One part curaçao~~~One part dry vermouth~~~Dash grenadine","1 pint (~13 parts) beer~~~3 parts Amaretto~~~1 part high-proof liquor","1 US fluid ounce (30 ml) light rum~~~1 oz. brandy~~~1 oz. overproof rum~~~4 US fluid ounces (120 ml) orange juice~~~2 US fluid ounces (60 ml) lemon juice, unsweetened~~~2 oz. orgeat syrup","1 cup of black tea1 shot of rum","Rum, butter, hot water or cider, sweetener and spices","One part dark rum~~~One part white rum~~~Half part over proofed rum~~~Passion fruit syrup~~~Lemon juice",NA,"2 parts white rum (preferably Flor de Caña)~~~2 parts guava juice~~~1 part lemon juice~~~sugar to taste",NA,NA,"1-4 part(s) Pusser's Rum~~~4 parts pineapple juice~~~1 part cream of coconut~~~1 part orange juice~~~Sprinkle with nutmeg",NA,NA,"4oz. black rum~~~4oz. gold rum~~~Juice of 2 lemons~~~5oz. pineapple juice~~~5oz orange juice~~~2oz. Bermuda falernum~~~6 dashes Angostura Bitters","1.5oz. 151-proof rum~~~0.5oz fresh-squeezed lime juice~~~0.5oz. 1:1 Simple Syrup~~~6 drops (1/8 tsp) of Pastis, herbsaint, or absinthe~~~1 dashes Angostura Bitters","1 ounce gin~~~1 ounce brandy (or bourbon)~~~1/2 ounce lime juice cordial~~~2 dashes Angostura bitters~~~4 ounces ginger beer, chilled",NA,"4–6 cl golden rum or dark rum~~~limes~~~Club-Mate~~~(if desired): brown sugar~~~ice",NA,NA,NA,"1 pint (~16 parts) beer~~~1 shot (1.5 parts) sake","One raw egg (or egg yolk only)~~~3/4 cup (200 cc) sake~~~Honey or sugar to taste","1½ oz Tequila~~~1 oz apple cider~~~1/4 oz lemon juice~~~1/4 oz creme de cassis",NA,"4.5 cL (3 parts) Old Tom Gin~~~3 cL (2 parts) freshly squeezed lemon juice~~~1.5 cL (1 part) sugar syrup~~~6 cL (4 parts) carbonated water to taste","1 1/2 ounces tequila~~~1 ounce lemon juice~~~1/2 ounce agave nectar (or 1 tsp. superfine sugar or 3/4 oz. cane syrup)~~~Splash club soda",NA,"1 to 1.5 parts silver or blanco tequila~~~2 to 3 parts pineapple juice~~~Juice of half a lime","One part tequila~~~Three parts grapefruit soda","One part tequila~~~One part 7 Up, ginger ale, Sprite, or Mountain Dew",NA,NA,"5 cl (1 part) vodka~~~15 cl (3 parts) carrot juice","4.5 cl (3 parts) Vodka~~~1.5 cl (1 part) Apple schnapps / Calvados~~~1.5 cl (1 part) Cointreau","Vodka, blue curaçao, grenadine, sweet and sour mix and others",NA,"BaconLettuce or LiquorTomatoVodka or Bacon vodka","50 ml Vodka~~~20 ml Blue Curacao~~~100 ml Lemonade~~~1 orange slice.~~~Ice cubes","6 oz. Clamato Juice~~~1–1½ oz. vodka~~~2 dashes hot sauce~~~4 dashes Worcestershire sauce~~~Celery salt~~~Freshly ground pepper~~~Lime wedge~~~1 crisp celery stalk","Vodka~~~Cranberry juice","2 parts vodka or brandy[1]~~~1 part blue Curaçao~~~1 part grenadine~~~1 part lemon juice~~~6 parts orange juice",NA,"1 shot Apple Vodka~~~1/2 cup Apple Juice~~~1/2 cup Lemonade","Two parts gin~~~One part sweetened lime juice~~~Soda","2.5cl (1 part) Vodka~~~1.25cl (1/2 part) Archers (Peach Schnapps)~~~1.25cl (1/2 part) Malibu~~~2.5cl (1 part) Fresh Orange Juice~~~2.5cl (1 part) Fresh Pineapple Juice~~~~~~dash of Fresh Cranberry Juice",NA,NA,NA,NA,NA,"2oz bourbon, rye whiskey, or gin~~~Half of a lime squeezed and dropped in the glass~~~Sparkling mineral water",NA,"vodka, Kahlúa, Creme Soda, and orange juice",NA,NA,"4 cl gin or vodka~~~10 cl grapefruit juice",NA,NA,NA,"6 cl (6 parts) vodka~~~1 cl (1 parts) dry vermouth","5 cl (5 parts) Vodka~~~2 cl (2 parts) Coffee liqueur~~~3 cl (3 parts) fresh cream","2 parts (1 oz) Vodka~~~1 part (.5 oz) Peach Schnapps~~~4 parts (2 oz) Cranberry juice","10 parts beer~~~1 part vodka (Ratio varies according to taste.)","3 US fluid ounces (89 ml) whiskey or vodka~~~1 raw egg~~~Tabasco sauce, to taste","2.5 cl Irish Whisky~~~2.5 cl Irish Mist",NA,"30 ml (1 part) or 45 ml (1.5 parts) bourbon~~~30 ml (1 part) sweet red vermouth~~~30 ml (1 part) campari","9 parts Bourbon~~~16 parts Champagne~~~3 dashes Angostura bitters","2 oz rye or Canadian whisky~~~1 oz dry vermouth~~~1/4 oz Maraschino liqueur~~~1/4 oz Picon or a few dashes of Angostura bitters~~~Maraschino cherry (Garnish)","1 part Jack Daniel's Tennessee Whiskey~~~3 parts lemonade~~~Ice~~~1 slice of lime~~~1 sprig of fresh mint",NA,"1.5 US fluid ounces (44 ml) rye whiskey or blended whiskey~~~4.0 US fluid ounces (120 ml) ginger beer~~~3 dashes Angostura bitters~~~squirt of lemon juice","1 part Jack Daniel's Tennessee Whiskey~~~3-5 parts Coca-Cola (strength dependent)~~~Ice","1+1/4 oz Jack Daniel's~~~3/4 oz triple sec~~~2 oz sour mix~~~lemon-lime",NA,"4.5 cl Scotch whisky~~~2.5 cl Sweet vermouth~~~Dash Angostura bitters","Scotch whisky and carbonated water","1 shot Seagram's Seven Crown whiskey~~~6  fl. oz. 7 Up~~~Ice",NA,NA,"Stout and Champagne",NA,NA,"3/4 shot (3 parts) Coffee liqueur, 1/4 shot (1 part) Irish cream","<U+200B>3/4 oz. Vodka~~~<U+200B>3/4 oz. Cream~~~<U+200B>3/4 oz. Kahlúa~~~<U+200B>3/4 oz.Amaretto~~~<U+200B>3/4 oz. Baileys Irish Cream[1]","Grand Marnier~~~Drambuie~~~Cinnamon~~~Ice","one part Baileys Irish Cream~~~one part Hot Damn Cinnamon Schnapps~~~one part Frangelico",NA,NA,NA,"5 cl (one part) Jägermeister~~~5 cl (one part) peach schnapps~~~cranberry juice"
"44","Cosmopolitan recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cosmopolitan recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Country of origin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Cuba Libre (Rum and Coke) recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cuba Libre (Rum and Coke) recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Daiquiri recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Daiquiri recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Dark 'n' Stormy recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dark 'n' Stormy recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Death in the Afternoon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Death in the Afternoon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Death in the Afternoon recipe at DrinkBoy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Death in the Afternoon recipe at DrinkBoy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Driver(s)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marc McDonald, Chuck Werner, Becky McDonough, Armando Castro, Kayla Blood and Mark List",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Engine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"540 cubic inch Merlin big block",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","French Connection recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"French Connection recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Frozen Blue Hawaii at Gold Spike bar near Union Square, San Francisco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Frozen Blue Hawaii at Gold Spike bar near Union Square, San Francisco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Harvey Wallbanger recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Wallbanger recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Home city",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ellenton, Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Horse's Neck recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Horse's Neck recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Hot buttered rum in a mug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hot buttered rum in a mug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
